Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United States,6371000.54 ,6315615.19 ,6424934.36 ,6532069.60 ,6624835.79 ,6710067.30 ,6907699.05 ,6968461.97 ,7032526.01 ,7071461.46 ,7232010.77 ,7116810.08 ,7156652.87 ,7199262.66 ,7333052.05 ,7339039.87 ,7270326.95 ,7369967.71 ,7160600.81 ,6709369.15 ,6938591.68 ,6787419.03 ,6545969.33 ,6710218.18 ,6759995.63 ,6623775.48 ,6492267.43 ,6456718.19 
European Union (28 countries),5649529.34 ,5555045.95 ,5379830.54 ,5281540.39 ,5255297.27 ,5308544.00 ,5418671.89 ,5326316.82 ,5281519.48 ,5172643.92 ,5168911.90 ,5223118.41 ,5182922.84 ,5265582.69 ,5265368.65 ,5228428.62 ,5214524.89 ,5162425.25 ,5046999.43 ,4681900.46 ,4783627.79 ,4626382.21 ,4563064.71 ,4468920.46 ,4297635.77 ,4327313.20 ,4303391.87 ,4323163.15 
